Record_ID,City,State,Region,City Category,Year,Month,Season,Population,Population Density (per km²),Urbanization Rate (%),Waste Type,Daily Waste Generation (TPD),Waste Per Capita (kg),Collection Efficiency (%),Waste Segregation Rate (%),Recycling Rate (%),Composting Rate (%),Landfill Dependency (%),Waste Processing Capacity (TPD),Treatment Method,Municipal Efficiency Score,Awareness Campaigns,Smart Bins,Collection Vehicles,Collection Frequency,Waste Management Workers,Waste Management Budget (?),Cost Per Ton (?),Carbon Emissions,Landfill Capacity (Tons),Remaining Landfill Capacity (Tons),Latitude,Longitude,Air Quality Index (AQI),Rainfall (mm),Tourism Impact Score,Industrial Activity Level,Population Growth Rate (%),Sustainability Index,Performance Level,Sustainability Category
WM000001,Agartala,Tripura,Northeast,Tier-3,2015,1,Winter,172974,2175.5,27.8,E-Waste,0.91,0.005,37.2,34.9,43.5,0.9,52.9,0.82,Landfill,2.9,0,0,4,1,213,1073116,366,13.92,42617,97.2,23.8315,91.2868,155,23,4.7,1.8,3.08,33.3,Low,Poor
WM000002,Agra,Uttar Pradesh,Central,Tier-1,2015,1,Winter,1632551,12571.9,62.2,Organic,273.06,0.173,73.6,41.5,21.3,35,39.1,290.66,Composting,5.5,1,0,86,5,4425,39928082,800,686.69,2918382,95.8,27.1767,78.0081,225,16.3,10,8.7,1.63,43,Low,Average
WM000003,Agra,Uttar Pradesh,Central,Tier-1,2015,1,Winter,1632551,12571.9,62.2,Plastic,90.35,0.058,63.4,57.1,45,0.3,49.6,83.65,Recycling,5.5,1,0,86,5,4425,39928082,1299,351.93,2918382,95.8,27.1767,78.0081,225,16.3,10,8.7,1.63,43.5,Medium,Average
WM000004,Ahmedabad,Gujarat,West,Metro,2015,1,Winter,7453456,29728,86.3,Construction,614.79,0.082,75.5,56.5,35.4,0.6,54.4,610.22,Landfill,7.1,3,0,547,6,29801,288378583,1149,9705.64,15936849,96.7,23.0225,72.5714,162,8.7,6.6,4.9,1.62,42.6,High,Average
WM000005,Ahmedabad,Gujarat,West,Metro,2015,1,Winter,7453456,29728,86.3,Organic,1674.59,0.218,73.5,55,25.2,43.8,22.7,1500.8,Composting,7.1,3,0,547,6,29801,288378583,1319,3794.83,15936849,96.7,23.0225,72.5714,162,8.7,6.6,4.9,1.62,49.7,High,Good
WM000006,Aizawl,Mizoram,Northeast,Tier-3,2015,1,Winter,46288,3294.2,46.8,Biomedical,0.09,0.002,64.2,54.6,29.6,1.2,68.7,0.09,Landfill,5.3,1,0,3,2,67,465963,331,1.36,109894,95.4,23.7271,92.7176,122,43.8,4.1,0.9,3.89,35.6,Medium,Poor
WM000007,Ajmer,Rajasthan,North,Tier-2,2015,1,Winter,870522,3056.9,57,Organic,130.61,0.148,66.6,44.1,17.3,38.1,43.1,101.91,Incineration,5.6,2,0,37,3,1655,12667476,1190,1368.15,412707,96.5,26.4499,74.6399,222,22.6,3.9,6.8,3.06,41,Low,Average
WM000008,Akola,Maharashtra,West,Tier-2,2015,1,Winter,796161,2931.2,65.4,E-Waste,4.93,0.006,52.7,40,39.4,1.5,55.3,5.09,Landfill,5.1,0,0,27,4,1513,10037330,567,74.04,1392283,97.2,20.7002,77.0082,173,4.1,4.3,2.6,2.71,39.1,Low,Average
WM000009,Akola,Maharashtra,West,Tier-2,2015,1,Winter,796161,2931.2,65.4,Organic,108.36,0.135,74.3,51.1,21.4,40.8,34.2,90.44,Landfill,5.1,0,0,27,4,1513,10037330,445,1940.18,1392283,97.2,20.7002,77.0082,173,4.1,4.3,2.6,2.71,45.9,Medium,Good
WM000010,Alappuzha,Kerala,South,Tier-3,2015,1,Winter,120229,2380.2,46.2,Paper,2.15,0.018,50.4,42,45.9,3.4,45.2,1.55,Recycling,2.2,0,0,4,1,137,611468,584,7.63,103603,97.1,9.4981,76.3388,137,24.8,9.9,1.8,4.46,34.7,Low,Poor
WM000011,Aligarh,Uttar Pradesh,Central,Tier-1,2015,1,Winter,2190010,11783.1,77.3,Organic,401.85,0.19,69.3,40.2,24.8,23.2,46.4,334.88,Landfill,5.3,2,0,109,6,5221,51825503,733,6693,2414559,96.8,27.8974,78.088,210,10.3,6.5,7.8,2.83,38.8,Low,Average
WM000012,Alwar,Rajasthan,North,Tier-3,2015,1,Winter,81659,662,35.7,Construction,3.47,0.044,44.6,35.3,25.6,0.2,81.5,2.45,Recycling,2.6,2,0,3,1,121,610389,516,11.34,125152,97.3,27.553,76.6346,208,0,5.7,5.4,4.15,22.6,Low,Poor
WM000013,Amravati,Maharashtra,West,Tier-2,2015,1,Winter,328887,3115.9,51.2,Organic,46.14,0.143,69.3,42.5,22.3,29.8,49.7,38.68,Landfill,4.1,2,0,13,4,690,5834243,488,836.27,1149607,98,20.9374,77.7796,201,7.3,4.2,5.4,2.87,36.8,Low,Poor
WM000014,Amravati,Maharashtra,West,Tier-2,2015,1,Winter,328887,3115.9,51.2,Plastic,12.74,0.037,60.2,49.1,32.3,1.5,63.1,11.27,Landfill,4.1,2,0,13,4,690,5834243,561,212.64,1149607,98,20.9374,77.7796,201,7.3,4.2,5.4,2.87,35.1,Low,Poor
WM000015,Amritsar,Punjab,North,Tier-1,2015,1,Winter,1416013,9620.7,67.5,Paper,49.62,0.036,63.6,41.3,55.2,3.8,40.7,46.37,Landfill,5.1,1,0,73,5,3291,34926825,708,880.25,1601149,97.6,31.634,74.8723,234,13.6,7.4,8.4,1.8,42.3,Medium,Average
WM000016,Amritsar,Punjab,North,Tier-1,2015,1,Winter,1416013,9620.7,67.5,Plastic,77.36,0.056,62.6,47,36.8,0.9,57.7,59.06,Landfill,5.1,1,0,73,5,3291,34926825,603,1275.5,1601149,97.6,31.634,74.8723,234,13.6,7.4,8.4,1.8,36.8,Medium,Poor
WM000017,Asansol,West Bengal,East,Tier-2,2015,1,Winter,978142,3597,42.4,Construction,62.17,0.066,58.5,49.9,33,1.4,61.2,65.89,Landfill,5.5,1,0,45,3,2067,13547078,573,1032.52,1195264,95.2,23.6739,86.9524,193,32.8,3.1,5.6,2.52,33.8,Medium,Poor
WM000018,Asansol,West Bengal,East,Tier-2,2015,1,Winter,978142,3597,42.4,Organic,145.88,0.156,70.4,52.7,29.1,37.4,31.3,123.97,Landfill,5.5,1,0,45,3,2067,13547078,514,2288.78,1195264,95.2,23.6739,86.9524,193,32.8,3.1,5.6,2.52,48.3,Medium,Good
WM000019,Bangalore,Karnataka,South,Metro,2015,1,Winter,10436856,11991.2,85.5,Organic,2653.06,0.243,79.9,50.4,34.3,31.8,21.5,3094.36,Biogas,7.7,7,0,700,7,42386,412853074,1792,3695.06,17234680,98,12.9716,77.5946,184,22.1,5,5.5,0.91,53.9,High,Excellent
WM000020,Bangalore,Karnataka,South,Metro,2015,1,Winter,10436856,11991.2,85.5,Plastic,646.78,0.06,82.7,54.8,35.6,0.2,56.3,708.45,Landfill,7.7,7,0,700,7,42386,412853074,1174,10551.5,17234680,98,12.9716,77.5946,184,22.1,5,5.5,0.91,43.7,High,Average
WM000021,Bareilly,Uttar Pradesh,Central,Tier-1,2015,1,Winter,3081843,10565,60,Construction,273.53,0.086,67.7,46.7,35.9,0.6,62.3,195.06,Incineration,5.6,2,0,177,5,7473,86687159,1459,3126.98,6529266,95.8,28.367,79.4304,200,10.5,5.6,5.5,1.59,38.5,Medium,Average
WM000022,Bareilly,Uttar Pradesh,Central,Tier-1,2015,1,Winter,3081843,10565,60,Organic,621.35,0.2,72.7,51,22,31.4,43.2,566.44,Composting,5.6,2,0,177,5,7473,86687159,792,1633.73,6529266,95.8,28.367,79.4304,200,10.5,5.6,5.5,1.59,46.4,Medium,Good
WM000023,Bathinda,Punjab,North,Tier-3,2015,1,Winter,60299,798.1,48.9,Organic,7.43,0.119,54.8,51.9,23.2,29.9,45.4,7.74,Composting,4.7,0,0,3,2,86,299362,405,19.4,40863,96,30.211,74.9455,205,27,5.4,2,2.01,43,Low,Average
WM000024,Bathinda,Punjab,North,Tier-3,2015,1,Winter,60299,798.1,48.9,Paper,1.19,0.019,57.3,65,51.1,4.1,38.4,0.99,Landfill,4.7,0,0,3,2,86,299362,320,19.29,40863,96,30.211,74.9455,205,27,5.4,2,2.01,50.3,Medium,Good
WM000025,Belgaum,Karnataka,South,Tier-2,2015,1,Winter,346966,4566.2,63.4,Glass,3.55,0.01,61,46.2,57.2,0.6,42,2.92,Composting,4.9,3,0,14,3,646,3398834,501,8.05,1185346,95.3,15.8497,74.4977,134,35.9,5.8,5.1,1.58,45.5,Medium,Good
WM000026,Bhagalpur,Bihar,East,Tier-3,2015,1,Winter,181528,1444.5,40.7,Organic,21.28,0.122,62.4,51.5,19.9,31.5,47.6,18.88,Landfill,4.7,3,0,5,3,242,1305344,379,380.27,295253,97.7,25.2425,86.9842,125,14,3.1,1.6,4.42,42.6,Low,Average
WM000027,Bharatpur,Rajasthan,North,Tier-3,2015,1,Winter,281672,866.4,30.1,Organic,31.96,0.111,53.8,35.9,19.3,26.7,53.6,30.02,Biogas,2.4,0,0,8,1,360,1890396,608,52.67,325807,96.4,27.2152,77.4909,225,25.2,5.1,4.9,4.07,33,Low,Poor
WM000028,Bhavnagar,Gujarat,West,Tier-2,2015,1,Winter,403251,5378.4,42.9,Construction,25.47,0.061,60,42.9,36.4,1.2,57.4,24.48,Landfill,5.9,1,0,15,4,972,6806994,535,419.92,1192617,96.4,21.7645,72.1519,193,5,4.6,2.5,3.15,38.2,Medium,Average
WM000029,Bhilai,Chhattisgarh,Central,Tier-2,2015,1,Winter,489855,6175.2,56.5,Organic,70.08,0.143,70.3,51.1,26.2,33.2,39.5,54.95,Composting,5.3,1,0,22,4,1122,7230009,638,154.11,1705245,97.7,21.2094,81.4285,201,15.4,4.6,5.9,3.18,45,Medium,Good
WM000030,Bhiwandi,Maharashtra,West,Tier-2,2015,1,Winter,710453,6974.6,61,Organic,91.81,0.133,60.9,34.2,16.4,31.6,46.8,82.8,Composting,3.4,0,0,23,4,1189,10551148,537,233.6,733041,97.9,19.3002,73.0629,167,5.9,2.3,5,2.03,35,Low,Poor
WM000031,Bhopal,Madhya Pradesh,Central,Tier-1,2015,1,Winter,1389951,9378.7,68.1,Glass,18.77,0.013,64.7,47.6,56.7,1.5,38.6,14.95,Landfill,5.1,1,0,76,6,3838,35063590,767,292.86,3838674,98,23.2599,77.4126,194,19.6,6.1,3.5,1.94,47.1,Medium,Good
